,Company,Website,Source,Description,Location,SDG Goal,five Ps,Rainmaking SDG Subtopic,Impact Statement,Location of Impact
1982,Convion,http://convion.fi/,https://plusimpact.io/startups/convion,"Convion is a leading fuel cell system developer focusing on developing and commercializing solid oxide fuel cell (SOFC) systems distributed power generation. Solid oxide fuel cell’s (SOFC) are a unique technology in many ways. A SOFC power generator is unparalleled in efficiency by any other type of power conversion technology, independent of scale, in a single cycle, and it is inherently modular. High operating temperature of solid oxide fuel cells makes these systems flexible for operating on different fuel compositions. Due to clean, hot exhaust gas, SOFC systems are also ideal for combined heat and power generation omitting transmission and distribution losses of power and heat networks. Fuel cells are electrochemical energy conversion devices and as a consequence, there are very few moving parts in a SOFC system. As a result, SOFC systems are low maintenance and long maintenance interval generators suited for continuous operation. Extensive experience of Convion team and focus on process architecture, integration and process control together with the unique features of SOFC technology open up interesting possibilities for distributed, continuously operating and available power generation. Our products are designed for premium energy efficiency, reliability and operational flexibility.",Espoo,7,Prosperity,,,
1983,Citisense,https://citisense.dk/,https://plusimpact.io/startups/citisense,"Citisense develops and operates digital solutions, with a particular focus on promoting and supporting dialogue, debate and hearings. We create solutions on all scales for both public and private clients. Our solutions can be used from project to project when it makes the most sense for our customers, or they can create the digital framework for a permanent dialogue and consultation portal or a community that brings together processes and dialogue at all scales. Citisense has helped a number of Danish municipalities support processes in very different areas: implementation of new primary school reform, development of business strategies, debate on urban development areas, municipal and local planning hearings, debate on mobility plans, plans for renewable energy systems - just to name a few.",Risskov,16,Peace,,,
1984,BlueCall,https://www.bluecallapp.com/,https://plusimpact.io/startups/blue-call,"BlueCall is a digital platform for anonymous therapeutic calls over the phone and chat. We offer a complete solution that provides the right tools for preventing mental illness and measuring the effect at the individual and organizational level. Therapists are exclusively selected to make you feel completely safe. They guide you through the entire conversation and provide concrete tools so that you can achieve positive change in your particular situation. At BlueCall we can help those who want to: - Create a balance in the life puzzle - Learn how to deal with stress and recovery in everyday life - Improve a relationship and get increased joy of life - Find back to motivation - Create greater self-esteem and feel better in yourself - Create increased self-confidence to regain faith in yourself - Get back good sleep routines and more energy Founded by Caroline Rödén, Lisa Löfgren and Tamara Bernad in 2016, their vision is to help millions of people around the world for better well-being.",Sweden,3,People,,,
1985,BioMensio,https://biomensio.com/,https://plusimpact.io/startups/biomensio,"Biomensio is revolutionizing analytics through its Diagnostics-as-a-Service Platform. The platform consists of a fully digital handheld reader, multianalyte fluid cartridges, and a cloud-based analytics service powered by professional services team. Our initial application areas of interest are point-of-need applications including the detection of drug abuse in saliva, as well as food and milk safety. At the heart of our DXaaS platform is our highly scalable Rapid Multi-Analyte Sensor, a miniaturized micro-array platform integrated into a cost-efficient fluidic cartridge facilitating the fast development of new bio-screening applications for on-site testing. The pixels of the sensor are functionalized with a biologically active layer, like antibodies or DNA, enabling unique label-free capabilities for screening multiple biological targets from the same liquid sample in one step. Biomensio technology is scalable and robust – neither optics nor moving parts are required. Our capability to meet the high quality and volume expectations of the market is based on utilizing existing and proven easily scalable high volume production technologies.",Hermia,3,People,,,
1986,Better Energy,https://www.betterenergy.com/,https://plusimpact.io/startups/better-energy,"Mission: Power up the world with unlimited and affordable green energy We want to improve the lives of people and the environment with power that is clean, reliable, safe and sustainable. Renewable energy has enormous potential to transform how electricity is generated and to improve millions of lives. Green energy sources can help meet the rapidly growing energy demand and the need to expand access to energy. Time is short. We cannot continue along our current path. We must engineer new ways to make renewable energy efficient and affordable. - Explore new directions, markets, financial structures, technologies. - Advance the deployment of renewable energy as rapidly as possible. - Deliver renewable energy at the lowest possible cost. We are driven by the vision of a healthy, safe and sustainable future. We know that sustainable development is not possible without cleaner, renewable sources of power. Advancing renewable energy will promote economic growth, create new jobs, improve the lives of people, reduce climate change and protect the environment. Our business has a purpose beyond just making money. We want our work to create something larger than ourselves. We want to lead the way and show others how to shape our energy future in a way that benefits society. And we need to make sure that people are moving ahead. We want to actively contribute to the development of new energy solutions. We will be active, not passive, in the process of global change.",Frederiksberg,7,Prosperity,,,
1987,Swedish for Professionals,http://swedishforprofessionals.com/,https://plusimpact.io/startups/swedish-for-professionals-2,"Together we can help make the Swedish labour market a more flexible, diverse, and ultimately more competitive place. At Swedish for Professionals, we’re passionate about languages. We build our own course content and work with inspiring language coaches to offer you engaging and rewarding courses in Swedish. Our team believes that language learning should be fun, encouraging, and efficient. The goal of our courses and workshops is to help international talents effectively integrate into Sweden and communicate in Swedish for business and leisure purposes. Through our methodology, we help you to expand your vocabulary, practice your pronunciation, and sharpen your grammatical skills. Yes, Sweden is a country where a lot of people speak English, but reaching proficiency in Swedish will help you understand Swedes better as well as make you more successful at work! It is our ambition to help you become a confident Swedish speaker, embracing everything that Sweden has to offer! Our aim is to create the world’s best business climate in Sweden by welcoming global talent from all over the world.",Sweden,10,Prosperity,,,
1988,Prelud,https://www.prelud.no/,https://plusimpact.io/startups/prelud-1,PRELUD was founded in 2017 due to the need for smarter solutions in healthcare: we believe health-tech can strongly support the ongoing work of healthcare professionals and increase patients' safety. PRELUD focuses on a meaningful use of existing technologies to process data and monitor patients receiving home care services. Our main goal is to reduce preventable hospital admissions among patients through user-friendly monitoring tools for both health care providers and their users.,Norway,3,People,,,
1989,Hejdoktor.dk,https://www.hejdoktor.dk/,https://plusimpact.io/startups/hejdoktordk-2,"Medical care directly on your mobile. Hejdoktor.dk gives you quick online access to specialist doctors in general medicine, regardless of time and place. Many inquiries to a regular clinic can usually be done via video, phone or email. So why waste time in a telephone queue or in a waiting room? Here you can read more about how an online medical consultation works and the typical questions we encounter.",København,3,People,,,
1990,720 Degrees,https://720.io/en/,https://plusimpact.io/startups/720-degrees-1,"Make indoor environmental quality your most intelligent asset! 720° is a cloud based analytics solution for indoor environmental quality monitoring. We provide the most effective analytics and communication solution on the market that combines AI, organizational behavioral aspects and the highest possible level of indoor environmental quality expertise. Our solution for monitoring the indoor climate is: PRECISE – When AI and machine learning are applied, indoor air quality data is always accurate and results readily available, which enables rapid decision-making and reporting. REAL-TIME – Information on the quality of the indoor climate is available immediately. VALUE-ADDING – A high-quality indoor environment creates an optimal workspace, which is key to increasing satisfaction and performance. Monitoring provides you with actionable intelligence to both increase the satisfaction of occupants, as well as the value of the facility while decreasing maintenance costs. We believe that health and satisfaction at work is everyone’s prerogative. Our passion is to improve people’s lives and allow organisations and building owners to offer the best working environments achievable.",Helsinki,3,People,,,
1991,Twinbody,https://www.twinbody.com/,https://plusimpact.io/startups/twinbody-1,"Lose weight together. At twinbody we want to make you feel great about your body as well as your body progress. We want to give you a platform that facilitates both the support and knowledge to achieve a healthy, pleasant and efficient weight loss matched with your body goals. We want to make you feel proud, happy and contend with how your body is today and where you want to go with it. Dieting is more efficient and pleasant when the right people support you. Changing your body and creating lasting and healthy weight loss takes both mental support and physical knowledge. We believe that in order to change your body and create a healthy and lasting weight loss, you don’t just need the knowledge to diet the right way physically, you also need the mental support.",Copenhagen,3,People,,,
1992,Tamturbo,https://www.tamturbo.com/,https://plusimpact.io/startups/tamturbo,"Oil-Free turbo compressors for all industries. Compressed air production is an integral part of most industrial manufacturing processes. It is used in almost every industrial plant to power machines, tools and processes and to move materials in different ways. Compressed air is a basic utility, comparable to electricity, water and heat. The difference is that industrial plants do not need to produce their own power, water or heating, but they are almost always required to take responsibility for producing compressed air. Tamturbo® Touch-Free™ turbo compressors are 100% oil-free and by far the most sustainable air compressor solution on the market. With the lowest total cost of ownership, Tamturbo air compressors deliver significant savings from the biggest costs of owning an air compressor: energy and maintenance. Tamturbo® 100% oil-free turbo compressors have better and more persistent energy efficiency compared to traditional “oil free” screw compressors, so you will see significant savings in your electrical costs. Additionally, unlike “oil free” screw compressors, Tamturbo air compressors do not lose their efficiency due to wear. This means that you will see a lifetime of consistent high efficiency that extends throughout the wide capacity turndown range. Tamturbo’s Touch-Free™ technology operates with practically no wear and tear, eliminating the need for conventional maintenance. For our customers, this means financial savings and less unnecessary maintenance downtime, and it also extends the technical service life of the equipment, which reduces the environmental burden caused by waste.",Tampere,"9,12,",,,,
1993,Meoline,http://www.meoline.fi/,https://plusimpact.io/startups/meoline,"Meoline MEO+ is a heavy metals analyzer using traditional electrochemical analysis to measure real-time heavy metal concentrations from industrial discharge waters in ppb levels. We have developed the system in collaboration with industrial customers. We have new innovations in maintenance and reliability. The analyzer is especially tailored to work reliable in harsh and remote locations. Measurement can be also arranged to locations without electricity by utilizing solar panels and battery technology. We think that real-time monitoring is the best way towards optimized process control. Chemical usage can be done faster and the consumption can be optimized with real-time data and not by manual sampling and traditional laboratory analysis. Also, incidents occur and can cost a lot of money and may lead to environmental problems. Now the monitoring can be done automatically by real-time measurements even in harsh and remote locations. Early warning system alerts 24/7 automatically, when limit values are exceeded.",Kajaani,"6,9,12,",,,,
1994,eMobility,https://emob.no/,https://plusimpact.io/startups/emobility-1,"eMobility rents out small e-cars in Geiranger and Flåm. We rent out small, fun electric cars that get around easily provided with GPS tours in your own language – with no impact on the environment. Explore independently some of Norway’s finest destinations in our sprightly, fun, environmentally friendly electric cars. We show you the highlights as a good friend would do and guarantee that you will have a blast!",Norway,11,Prosperity,,,
1995,CPH Village,http://www.cphvillage.com,https://plusimpact.io/startups/cph-containers,"We want to create the best place to live. For people and for the planet. We build modular student housing and work to offer an affordable and sustainable lifestyle in a strong community. During the next five years, our goal is to build and operate 2500 homes in Copenhagen and demonstrate that the sustainable life is the most attractive.",København,"11,12,",,,,
1996,Too Good To Go,https://toogoodtogo.dk/da,https://plusimpact.io/startups/too-good-to-go-3,"Too Good To Go is a Social Impact company fighting global food waste, and is B Corp certified as of 2020. We are mostly known as the world's largest B2C marketplace for surplus food and restaurants, cafés, supermarkets, bakeries, canteens and wholesalers in 14 countries connect with users of our app to save perfectly good food from going to waste. With Too Good To Go you can save happiness bags. In the lucky bags you save all the delicious surplus goods that shops and restaurants have to throw out at closing time. These may be bakeries that daily bake fresh bread, or restaurants that have not sold as expected. Our vision is a world with no waste and we know we’ll get there because we believe in the power of people. Small actions have big consequences so join Too Good To Go and start making a difference today.","København, Sweden","9,11,12,",,,,
1997,Tørn,https://www.byggevarerester.no/,https://plusimpact.io/startups/torn,"Tørn is a new Norwegian service where you can buy curated construction products at greatly reduced prices. Here you will find surplus goods from the large department stores, all in one place. The idea is simple, but the effect is great. Because as all building department stores can offer their surplus goods on Tørn, we reach out to far more than every single player would do alone. This is how we manage to match each surplus item with the buyer who is looking for just that. The result is that leftovers, wrong orders and returns come in handy, customers save money on goods they need, construction chains make money on things they have previously thrown - and the waste of the industry is reduced.",Norway,"11,12,",,,,
1998,Braive,https://braive.com/,https://plusimpact.io/startups/braive-2,"Braive develops courses for common mental health challenges based on CBT treatment guidelines and manuals. Braive was created to unlock the potential of today's technology in the application of remote mental health care. We offer evidence-based treatment programs adapted to the challenges you are facing. You will be introduced to the stories of other people who have faced similar challenges as you, and their way through treatment. Our mission is to provide cost efficient, easy access solution for high-quality treatment programs targeting people with mental health challenges, worldwide.",Norway,"3,9,10,",,,,
1999,Insekt KBH,https://www.insektkbh.dk/,https://plusimpact.io/startups/insekt-kbh,"With us you have Denmark's best selection of edible insects. We are your insect supplier. We have both edible insects for cooking and as snacks. We also have live insects for you who have reptiles or birds, or for you who like to fish. If you have your own company that also wants to sell insects, we have a solution for you too. You may want to make a food product with insects or you may have a restaurant where you would like to use insects. If you are missing insects for it, call and we will find a solution.",København,"11,12,",,,,
2000,Linkaiders,http://www.linkaiders.com/,https://plusimpact.io/startups/linkaiders-1,"REACHI is a resilient information management system designed to generate overview within the first hours of disasters. The system enables communication from first responders to relief coordinators via wearable, disaster-proof, mesh devices, thereby efficiently accelerating need-based decision making. By utilizing a matured mesh technology and the existing capacity of trained first responders, data can travel from device to device until it reaches a REACHI gateway. From here the data is sent to the cloud and automatically displayed in the REACHI dashboard, providing a near real-time overview for relief coordination. We cannot prevent natural disasters, but we can help prevent a disaster within the disaster.",Frederiksberg,"9,10,11,",,,,
2001,AwareCare,http://awarecare.eu/,https://plusimpact.io/startups/awarecare,"AwareCare is a system of various digital aids aimed at citizens with special needs. The various features of AwareCare include of Calendar, Chat with friends and MyAreas specially designed to match the older part of the population's needs. AwareCare also provides relatives and caregivers with greater confidence in knowing that care is being taken of the elderly. The goal of AwareCare is to help citizens gain greater independence, give them greater security to participate in activities themselves, and thus gain a larger social circle and the opportunity to stay in their own homes for as long as possible.",Silkeborg,"3,9,10,",,,,
2002,SOLVATTEN,https://solvatten.org/,https://plusimpact.io/startups/solvatten,"Solvatten is a combined portable water treatment and water heater system that has been designed for off-grid household use in the developing world. It is an easy, innovative solution that provides access to clean, hot water to people throughout the world. Thanks to its durable design Solvatten is a low cost way to get clean, hot water. Solvatten makes water safe AND hot — up to 75°C/167°F. This is because ultraviolet (UV) light destroys the formation of DNA linkages in microorganisms, thereby preventing them from reproducing and thus rendering them harmless. Add the suns rapid heating of water and you have the exact process that occurs when Solvatten is used. Millions of primarily women and children need to walk dozens of miles every day to fetch water and firewood. Reducing the daily use of firewood and having a tool that can be used also on unimproved water sources closer to home makes life so much easier. Solvatten has an average lifespan of 7-10 years. That is the critical time when children are at their most susceptible to waterborne diseases.",Sweden,"6,10,11,",,,,
2003,Trifilon,https://www.trifilon.com/,https://plusimpact.io/startups/trifilon,"Trifilon’s business is providing a more sustainable alternative to large-scale producers of plastic, but the roots of the company lie in high-tech, carbon-fiber super-vehicles. Trifilon offers biocomposite materials as sustainable alternatives to conventional plastics. Our clients are assured that a delivery of a high-performance product with the lowest possible environmental impact and with the greatest consideration for the people involved in the entire supply chain. Our mission is to recognize the importance of plastics in our lives and make their production, use, and reuse more sustainable immediately.",Sweden,"11,12,13,",,,,
2004,Visikon,http://www.visikon.com/,https://plusimpact.io/startups/visikon-1,"My Treatment is a digital platform developed for patients facing a hospital treatment procedure. The platform contains a sequence of animated narratives developed in close cooperation with the clinical experts at the hospital. In addition, My Treatment comes with training programmes, an interactive diary, symptomguides, the hospital’s own information material and much more. Through the online patient portal called My Treatment, we enable patients to become self-confident and well-informed. This reduces the length of stay and the staff's amount of time spent on each patient. Concurrently, the patients’ experienced quality of the treatment and of the hospital in general is increased. By watching animated educational films developed in close cooperation with the clinicians of the hospital, the patients feel much better prepared for hospitalisation and rehabilitation. This enhances the overall experience of quality among patients as well as relatives. During three years of health care related studies, Visikon has documented that animated films constructed in the right way can reduce patient anxiety. Furthermore, simultaneous health care economic research has shown that patients who are given access to the platform of My Treatment strain the health care system much less than other patients.",Aarhus,"3,9,",,,,
2005,ConAid Construction Analytics,https://www.conaid.eu/,https://plusimpact.io/startups/conaid-construction-analytics-1,"Our AI web service compare 3D scans collected from autonomous robots and drones with 3D laser scanners. We collect and analyze the data in the cloud helping contractors and construction managers to track progress. This gives a great overview of the project through realtime reporting, registration and documentation. In the end this will minimize construction errors and resource waste.",Svendborg,"11,12,",,,,
2006,Grace Organic,http://www.graceorganic.se/,https://plusimpact.io/startups/grace-organic,"Food Waste Tracker shows the “what, where and why” of food waste, increases staff awareness and substantially reduces the purchases. Plate Waste Tracker increases the awareness of people in self-service restaurants and substantially reduces the food scraps. Grace Organic has the knowledge of how to prevent food waste. Together with our clients, we identify the smallest common denominator for the activities in the food business which deliver good results. We teach you to measure and reduce your waste, save your money and measure your progress to meet your company goals. Convert your organic waste on-site into an ecological fertilizer which can be used or sold with a profit. Using the Food Waste Master to handle your organic waste at the source of its generation is a sustainable investment in your organization and for the environment.",Sweden,"7,11,12,",,,,
2007,Refind,https://www.refind.se/,https://plusimpact.io/startups/refind,"Refind Technologies provides intelligent sorting and grading solutions using machine vision and learning. Mainly for the used electronics business but also for the fish industry. Refind uses cameras and machine learning software to teach systems to recognize items based on their looks. The systems are mainly used for grading and sorting of used products, enabling producers, retailers and recyclers to squeeze out as much value as possible from used and returned electronics, batteries, lamps or other complex products that otherwise would have been dumped or treated inefficiently. Our vision is to create systems that minimizes waste, be it by keeping products alive as long as possible or by collecting information to make better sorting decisions. We hate waste.",Sweden,"11,12,13,",,,,
2008,Waves4Power,https://www.waves4power.com/,https://plusimpact.io/startups/waves4power,"Waves4Power delivers green energy solutions by generating affordable electric power from ocean waves. A wave power park consists of several power-generating WaveEL buoys linked together in an optimized pattern. The power park is connected to the energy-user on shore or offshore via a connection hub and sea cable. This power is free of harmful CO2 emissions, thereby helping to create a better future for our planet.",Sweden,"7,9,11,",,,,
2009,Next Step Dynamics,http://www.nextstepdynamics.com/,https://plusimpact.io/startups/next-step-dynamics-1,"Next Step Dynamics is a pervasive healthcare technology which aims to redefine elderly care. Next Step Dynamics offers services for Fall Risk Prediction and Dementia. The technology includes electronic patient record, which is accible by the hospital, municipality and the patients. The eldery are monitored through the tool as well as the tool is able to identify the elderly who are in the risk of fall by means of the advanced Risk Assessment and Monitoring. Digitalization increases efficiency in patient care and improves monitoring patients' health.",Sweden,"3,9,",,,,
2010,Protect Pipe,https://www.protectpipe.fi/en/frontpage/,https://plusimpact.io/startups/protectpipe-1,ProtectPipe is a microbiotech company that offers a sustainable and safe solution for removing the organic waste from drainpipes. Our solution consists of live microbial strains that use organic waste as fuel and transform it into water and carbon dioxide. This stops the corrosion process in the drainpipes and prevents harmful nutrients from entering the fragile ecosystem of the Baltic sea.,Helsinki,"6,7,9,",,,,
2011,Tezted,https://tezted.com/,https://plusimpact.io/startups/tezted-1,"Tezted aims to transform tick-borne diseases testing with Tickplex, which offers unprecedented accuracy and efficiency. We offer an excellent diagnostic tool that can test for several tick-borne disease infections and multiple disease stages at the same time. The test is equipped with the state-of-the-art knowledge to help patients get a proper diagnosis. Our Tickplex will help to decrease the rate of misdiagnosed or undiagnosed cases and increase the health-related quality of life for tick-borne disease patients.",Jyväskylä,"3,9,",,,,
2012,Nabobil,https://nabobil.no/en,https://plusimpact.io/startups/nabobil,"Nabobil is a marketplace that connects private individuals who need a car with other private individuals who rent a car. If you need a car, you can use our platform to find the car near you that suits your needs, whether it be in a work context, trip to the mall, weekend break or vacation. Most of the Norwegian cars are not used and for 23 hours of the day. Nabobil puts already owned, private vehicles to better use and challenges the traditional model of owning a private car.",Norway,"9,11,",,,,
2013,Kyyti Group,https://www.kyyti.com/,https://plusimpact.io/startups/kyyti-group,"Kyyti Group offers a Mobility as a Service (MaaS) and Demand Responsive Transport (DRT) platform for enabling user-friendly access to sustainable and intermodal mobility. We plan, design and deploy customer branded turnkey solutions for municipalities, public transport authorities, transport operators and corporations. We help our customers to reduce the environmental burden of transport and build personalized, inclusive, and efficient mobility services in urban and rural areas for the benefit of society as a whole. Our solutions enable better collaboration between public and private mobility service providers.",Helsinki,"9,11,12,",,,,
2014,Epishine,https://www.epishine.com/,https://plusimpact.io/startups/epishine-1,"Use ambient or indoor lighting to power IoT sensors and other wireless products with Epishine’s light energy harvesting technology. Epishine’s small solar cells are able to harvest light energy in lowlight conditions. These light energy harvesting modules sufficiently capture and bind indoor light from as little as 10lux and use it to support low power devices. We are on a mission to produce the most resource-efficient, scalable, and affordable solar power cells in the world.",Sweden,"7,11,13,",,,,
2015,SellPy,https://www.sellpy.se/,https://plusimpact.io/startups/sellpy-1,"Sellpy was founded in Sweden in 2014 and is a recommerce platform, which means it lets users buy and sell second hand goods. It lets users and sellers to consume second hand clothing, whereas the pieces unsold will be either reused or donated to charity. Users can follow the saved water and CO2 levels in a climate calculator on their account. To continuously understand our impact, we translate our transport, material use and energy consumption into carbon dioxide equivalents and follow up on a monthly basis. Our ambition is to be as climate-positive as possible, reduce our impressions and increase re-use and thus increase our savings.",Frihamnsgatan 56,"11,12,",,,,
2016,Gruten,https://www.gruten.no/,https://plusimpact.io/startups/gruten-1,"Gruten is a future-oriented and locally based business that creates new values of the city's coffee waste! With Oslo's black gold as a raw material, we offer exciting products and contribute to increased knowledge and awareness of coffee porridge as a useful resource. Gruten's products are made with consideration for nature and man. Coffee grouts from Oslo are the key ingredient and we use as far as possible to make organic ingredients and recyclables in the production process. Coffee grouts we collect with (electric) cargo bike and we also deliver goods with pedal power when possible. Gruten wants to spread knowledge about coffee grits to as many people as possible. In a practical way, we show how this wonderful and almost unused resource can be used for useful, nurturing and creative purposes. We are forward-looking, while also focusing on what is here and now. We want to be a positive role model and show that it is possible to create exciting products that are environmentally friendly, good for nature and for us humans.",Norway,"9,11,12,",,,,
2017,Handiscover,https://www.handiscover.com/da-DK/,https://plusimpact.io/startups/handiscover-2,Handiscover is the first community-based vacation apartment booking site dedicated to people with special needs and disabilities. At the heart of Handiscover lies a unique classification system that allows users to choose accommodation based on their level of mobility. Handiscover aims to enable billions of people with disabilities to discover the world.,Sweden,"9,10,",,,,
2018,QuizRR,https://www.quizrr.se/,https://plusimpact.io/startups/quizrr,"Millions of workers are unaware of their basic rights. Human rights are being violated every day in conventional trade, despite international conventions and national regulations on employment rights and sustainability standards. We work to change that. We have made it easy for companies to efficiently measure their sustainability performance. Through digital, gamified content combining live-action videos and quiz questions in local languages we build capacity in global supply chains. Take corporate responsibility to the next level. Join us in the quest going beyond audit. Building stronger transparent businesses and in the process enabling people to improve their lives.",Sweden,"5,8,17,",,,,
2019,Crickster,https://www.eatcrickster.com/,https://plusimpact.io/startups/crickster,"Crickster believes that insects are a healthy delicacy worth sharing. By sharing knowledge, processes and food experiences, we can empower each other to create more meaningful projects and companies — driving the change we want to see in the world. By educating and inspiring the people around us to make better choices, we can lead the world to a better tomorrow. Every interaction we have with another human being can leave an impact. That's why it is our duty to lead others by example. Instead of limiting our food choices, we should aim for a wider variety of foods. By providing alternatives to over consumed foods, we can eat tasty and healthy meals while reducing our environmental footprint.",Aalborg,"11,12,",,,,
2020,OncoImmunity,http://www.oncoimmunity.com/,https://plusimpact.io/startups/oncoimmunity-1,"NEC OncoImmunity is a bioinformatics company offering proprietary machine-learning based software to address the key knowledge gaps in the prediction of bona fide immunogenic neoantigens for personalized cancer immunotherapy. NEC OncoImmunity is dedicated to develop software solutions that facilitate effective patient selection for cancer immunotherapy, and identify optimal neoantigen targets for truly personalised cancer vaccines & cell therapies in a clinically actionable time-frame. Recent advances in the field of immuno-oncology have established that mutated antigens (neoantigens), are viable targets of the immune system, potentially specific to each individual cancer patient. This plus many other breakthroughs in immuno-oncology and the rapid advances in next generation sequencing (NGS), opens up exciting new opportunities to harness neoantigens for their therapeutic and biomarker potental in cancer immunotherapy.",Norway,3,People,,,
2021,3A Water,http://3awater.com/,https://plusimpact.io/startups/3a-water,"Our product is a measurement system for analyzing low levels of dissolved metals in water. The portable device provides precise real-time on-site results in field conditions. At the core of the technology is a filter, about the size of a 10 euro cent coin, made of our proprietary nanomaterial. A water sample is pumped through the filter, which collects metal ions from the liquid. The metals are concentrated up to 200 times in the filter compared to the original water sample. The high concentration of the metals in the filter makes it possible to measure them with a portable and affordable X-ray fluorescence (XRF) sensor, which on its own is not sensitive enough to measure the water samples. The original metal concentrations in water are calculated based on XRF measurements by our calibration algorithm. We offer a portable device for measuring metal content of water on-site in real time. The technology brings great benefits compared to old-fashioned laboratory measurements. Our technology provides the results at the sampling site in just a few minutes. This results in significant savings compared to the traditional laboratory analysis, which involves on-site sampling, delivery of the samples to a laboratory and measurements carried out with expensive devices by highly trained personnel. Thanks to the real-time measurements, you can take immediate action based on the results. This provides e.g. mining companies with up-to-date information about their water quality, enabling them to ensure that only clean water is released into nature. 3AWater aims to the reduce environmental risks of industries that use large volumes of water, such as mines, by providing better monitoring tools for water management. Our real-time monitoring tools can also be used in a variety of different applications such as assessing the condition of lakes and rivers, and monitoring water purification processes and drinking water safety.",Kuopio,"6,9,",,,,
2022,Aeromon,https://www.aeromon.fi/,https://plusimpact.io/startups/aeromon,"Aeromon reveals the true extent of airborne emissions. Our mobile and fixed devices detect, measure and visualize more than 15 different gases and particulate matter, giving our partners real-time process insights. With our solutions you can have automatic reporting of your emissions with a 360 degree view. The patent-pending modular structure allows simultaneous mounting of up to 11 sensor modules for gases and particulate matter depending on user needs. BH-12 pairs the measurement data with accurate time and location information before relaying it to the Aeromon Cloud Service via mobile network. The device is easily field serviceable, enabling low maintenance costs and high up-time. Aeromon will help to reduce material costs caused by leakages, gain more profit by locating and fixing process issues faster, improve safety by understanding where and when there is a leakage and support sustainable operations and create environmentally aware brands",Helsingfors,"12,13,",,,,
2023,Wasenco,http://wasenco.com/en/,https://plusimpact.io/startups/wasenco,"Designed and manufactured in Finland, the Ecowec hybrid heat exchanger has an extremely small carbon footprint over its 50-year service life. Wasenco’s Ecowec system is a true innovation in Finnish cleantech work, a pioneer without any precedent either in Finland or abroad. Thanks to the Ecowec hybrid heat exchanger, developed by Wasenco, property-owners and building-managers can now recover heat from wastewater more efficiently. With this system, heat can be recovered without separation of blackwater from greywater. Ecowec makes heat recovery cost-efficient, energy-efficient, and eco-friendly. Wasenco’s goal is to protect the environment by reducing buildings’ greenhouse gas emissions and energy consumption. To guarantee sustainable economic development, we need to take into account environment-related values also. This is something that Wasenco is fully committed to.",Lahti,"7,11,13,",,,,
2024,Ultraphotons,http://ultraphotons.com/,https://plusimpact.io/startups/ultraphotons,"Ultraphotons offers new innovative laser technologies for precise multi-compound gas sensing, especially in the 3-5 µm infrared wavelength region. Ultraphotons’ patent pending photonics innovation combines the superior characteristics of laser precision and speed with the key characteristics of infrared multi-compound detection techniques. The CW-OPO and CQN COMB light sources of Ultraphotons are designed for demanding trace gas monitoring applications that require detection and quantification of multiple compounds with high precision, selectivity, and speed. Potential applications include industrial process control, air quality monitoring, greenhouse gas analysis. The company works on developing compact laser instruments to detect polluting gases in the air. It enables a cost-efficient detection of polluting gases in real-time with maximum precision while being highly mobile with compact instruments.",Helsinki,"9,11,13,",,,,
2025,TrusTrace,https://trustrace.com/,https://plusimpact.io/startups/trustrace,"Trust Through Traceability. TrusTrace is a Technology Company that provides solutions to enable 'Conscious consumerism and Responsible Production'. Our Solutions provide the technology backbone to Measure, Monitor and Communicate the various activities in the supply chain right from the origin of the raw material to consumption or post consumption recycling. The current goal of TrusTrace is to help BRANDS produce in an ethical manner - by enabling trace ability across the supply chain and help ethical, environment friendly and quality products be differentiated in the market.",Stockholm,12,Prosperity,,,
2026,Norsetek,https://www.norsetek.no/,https://plusimpact.io/startups/norsetek,"In Norsetek we combine industrial design methodology and conventional solutions in order to design a new type of large wind turbines. The Norsetek Wind Turbine Technology is estimated to reduce the levelled cost of wind energy by up to 15% (mainly by CAPEX reduction). In comparison, the expected effect of all known and unknown technology improvements until year 2025 is estimated to 5.5%.",Trondheim,7,Prosperity,,,
2027,WindPal,https://www.windpal.io/,https://plusimpact.io/startups/windpal,"With the help of WindPal you can cover your energy needs in every situation. WindPal is a unique consept where you utilize one generator in various ways of energy production. It's a perfect partner in canoeing or hiking trips. In 2017 we noticed that there wasn't any small wind generators in the hiking market and at the same time we got an idea for the perfect structure of a portable wind generator. We use only an aluminium tube and give them a shape of S, add some fabrik between pipes and tensioning for the whole structure. WindPal Hiker - the world's simplest wind turbine was born. During development stage it was surprisingly difficult to find any decent small generator from the market. So we had to make our own. Soon we noticed that the generator was outstanding, fully waterproof and shockproof. First we decided to use the generator (The Base) in water turbine and as we expected it worked perfectly. Because there isn't wind or current always near you, we decided to design a hand crank which fit perfectly with The Base. During winter time in northern Finland the sun is not visible for three months and contitions are overall very harsh. As passionate hikers our goal is to make power in any circumstances. We use always the best possible material and knowhow to make world's best portable generators for you.",Hämeenlinna,7,Prosperity,,,
