,Unnamed: 0,Company,Website,Source,Description,Location,SDG Goal,five Ps,Rainmaking SDG Subtopic,Impact Statement,Location of Impact
1744,1744,Timebite,http://www.timebite.at/,Rainmaking,Nowadays students have to scroll threw many websites to find the relevant information. Our social network gives the students all exam-relevant (crowd generated) information at a glance. You can plan your exam preparation within seconds.,Austria,4,People,,Learn from the experiences of your fellow students on timebite . Find useful tips and just share them with others,
1745,1745,Tinker Bot,https://www.tinkerbot.in/,Rainmaking,We are trying to solve the bugs in Indian education system. We have created chat bot to help students learn in new and interesting ways. We are trying to redefine Indian Education system with the help of chat bots.,India,4,People,,Tinker Bot is an AI based Chat Bot that helps to learn new things by chatting with it.,
1746,1746,Tiny Farms,https://www.tiny-farms.com/,Rainmaking,Tiny Farms is pioneering the scalable production of insects for use in food animal feed and industry. Our team are experts in insect rearing automatic data capture technologies design and making. Demand for food grade insects is doubling annually with dozens of startups marketing new consumer food products. There is growing interest in insect derivatives like proteins lipids and chitin for use in animal feed and industrial processes. Current farms are inefficient and low volume so insects remain expensive and difficult to source. Using high resolution data capture and analytics to guide iterative development of a smart scalable mass rearing system we're building a profitable high efficiency cricket farm in San Leandro California. Our long term vision is to build a pipeline for the assay of insect species potential as agricultural products and the development of systems for their commercial production.,USA,2,People,2.4 New Protein Sources,Pioneers the industrialized production of Edible Insects,United States of America
1747,1747,Titan Health,titanhst.com,Rainmaking,"Titan HST is an emergency communication and mass notification app. The app allows the user to mark the type of emergency, share GPS coordinates, and send text, audio and video files. The users will be able to chat with system administrators and response teams. All the users in a community will receive emergency broadcast if there is an emergency situation that involves the group. The app follows a freemium revenue model.",USA,1,People,1.3 Disaster risk reduction technologies,Emergency communication app,United States of America
1748,1748,Tokia,https://www.tokia.io/,Rainmaking,"a wallet, exchange and a direct crypto payment card created to simplify all operations and make them more convenient for all crypto currency conversions",United Kingdom,1,People,1.1 Mobile connectivity for financial inclusion,Cryptocurrency exchange,United Kingdom
1749,1749,Xshore,https://www.xshore.com/,Rainmaking,Manufacturer of electric boats,Sweden,12,Prosperity,,Travel up to 100 nautical miles on a single charge. - - X Shore crafts are capable of traveling at speeds of 40 knots. - - Minimum footprint on the planet &amp; your wallet. - - Uses a groundbreaking propulsion system. Details coming soon.,Developed Markets
1750,1750,Topfreisen,http://www.topfreisen.at/,Rainmaking,Topfreisen offers international dishes prepared by engaging refugees in cooking their traditional dishes,Austria,10,Prosperity,,"Enjoy fresh, home-cooked food from distant countries! Because top travel is more than just a classic catering provider, you also contribute to the integration of refugees in Austria with your order. ",
1751,1751,Zadaa,https://zadaa.co,Rainmaking,"Zadaa is a mobile app that connects people who share a similar size and sense of style to sell and buy pre-loved clothes. It creates an instant marketplace. It offers secure transactions, communication, customer support and safety.\r",Finland,12,Prosperity,,Online marketplace for pre-owned fashion product,Developed Markets
1752,1752,Sensibo,sensibo.com,Rainmaking,"Sensibo is a tiny device that connects air conditioners to the internet. It can be used with any A/C that has a remote control. It comes with a free app for iPhone, Android and Pebble. Sensibo are designed to have two parts: one smart hub that connects to the home router, and a Sensibo Pod for each of the air conditioners. Raised $110k on Indiegogo in June 2014.",Israel,7,Prosperity,7.3 Energy Storage,Smart home climate system,Israel
1753,1753,Trifol,https://www.trifol.ie/,Rainmaking,"The TRIFOL technology processes low grade plastic waste into waxes for multiple applications (industrial, packaging, cosmetics, candles) and into ingredients for high specification synthetic automotive engine oils in an environmentally friendly manner. Trifol's objective is to install production facilities in all major markets globally.",Ireland,14,Planet,14.3 Ocean Plastic Protection,Provides technology to transform plastic waste into high-grade wax,
1754,1754,Triomf,triomfsa.co.za,Rainmaking,"Triomf provides services for precision agriculture decision support under the brand name Agri Xcellence. The service portfolio includes soil classificiation, soil chemical grid classifications, soil moisture management, crop monitoring &amp; management, and data processing. It uses UAVs manufactured by a company named Haevic for gathering remote sensing data for subsequent processing. It also manufactures and supplies a range of fertilizer products to farmers. The product portfolio has patented and off patented granular, liquid, and specialty fertilizers. It supplies the fertilizer products directly to farmers and does not use any middleman dealer or distributor.",South Africa,2,People,2.1 AgTech for Sustainable Farming,Services for precision agriculture decision support and supply of agrochemicals,South Africa
1755,1755,Triunfo Verde,http://www.triunfoverde.org,Rainmaking,Finca Triunfo Verde is a member owned social enterprise located in the rural coffee growing region of Chiapas Mexico where over 70 percent of the population lives below the national poverty line. For thousands of farmers living in the area coffee is the principal agricultural activity and the only source of income. In turn Triunfo Verde looks to improve the living conditions of small farmers by providing tailored credit coupled with crop focused technical assistance certification support processing and access to specialty markets. The specific region where Triunfo Verde operates is a buffer zone for a U.N. designated biosphere containing many endangered and protected species. The members of Triunfo Verde are committed to organic farming not only because it yields higher prices but also because they are committed to protecting the biosphere.,Mexico,2,People,2.6 Other,improve the living conditions of small farmers by providing tailored,Mexico
1756,1756,Sighten,http://www.sighten.io/,Rainmaking,Sighten has built the most advanced software toolset for solar. Sighten's comprehensive platform spans the entire lifecycle of a solar asset from tools to streamline origination system design and sales/operations to features that automate ongoing reporting and analytics. Current customers include leading tax equity investors lenders finance companies developers and installers.,USA,7,Prosperity,7.4 Energy Enablers,Building software for scaling solar energy.,United States of America
1757,1757,Mantex,http://mantex.se,Rainmaking,"Mantex has developed X-ray solution for analysis of contents of organic material used in industrial processes. The company has developed dual energy X rays enabling several measurements with higher accuracy. Some of the applications are biofuel quality assessment, monitoring chemical pulp production process etc. Products include biofuel analyzer, flow scanner and log scanner. ",Sweden,12,Prosperity,,Patented X-ray technology for measurement and analysis of organic material,
1758,1758,Truepic,https://truepic.com/,Rainmaking,a photo verification platform that aims to build a more trustworthy internet through certified authentic images & videos,USA,16,Peace,16.5 Automated Fact Checking,Online image and video authenticity solution to enterprise and consumer,United States of America
1759,1759,TrustTester Solutions,https://www.trusttestersolutions.org/,Rainmaking,"TrustTester software enables people, organizations or IoT devices to prove digital claims about themselves to someone or something, peer-to-peer, using data that the other party can verify.",Netherlands,16,Peace,16.5 Automated Fact Checking,TrustTester. The ease of certainty!,Netherlands
1760,1760,Tulaa,https://www.tulaa.io/,Rainmaking,A mobile commerce solution built for rural Africa. We combine mobile technology and last mile agent networks to connect agri input suppliers financial service providers and commodity buyers to smallholder farmers. Our aim is to lower the cost and risk for you to do business with farmers.,Kenya,2,People,2.2 Digital technologies for Smallholder Farmers,"Connecting agriculture suppliers, financial service providers, and commodity buyers to smallhold farmers",kenya
1761,1761,Tule Technologies,https://tuletechnologies.com/,Rainmaking,Tule Technologies provides agribusinesses with direct measurements of daily actual crop water use over an entire field using a patent pending technology.,USA,2,People,2.1 AgTech for Sustainable Farming,Powering Simple Actionable and Accurate Irrigation Decisions,United States of America
1762,1762,Två punkt ett,https://tvapunktett.se/,Rainmaking,Provides lighting services,Sweden,3,People,,Everything 2p1 does is about creating better indoor environments and accelerating the shift to a circular economy,Developed Markets
1763,1763,Twinbody,https://www.twinbody.com/,Rainmaking,"Twinbody is a social network for weight loss and fitness. The users can share their own journey with photos, blogging and follow others journey as well. The users can get weight loss and fitness encouragement, support and inspiration from other dieters. Through the app, users can match and connect across body characteristics, find someone who has the same body as you. The app is available for iOS platform.",Denmark,3,People,,We want to give you a platform that facilitates both the support and knowledge to achieve a healthy; pleasant and efficient weight loss matched with your body goals.,Developed Markets
1764,1764,twodads,http://www.twodads.fi/en/,Rainmaking,"what we feed our kids has an immediate impact on their health, wellbeing, physical growth and ability to learn. in the long-term it influences their eating habits, health and quality of life all the way through to adulthood. it's our job to look after our kids health, wellness and happiness holistically and naturally.along with the right kind of nutrition and dietary habits, we believe it's important to ensure that our kids are physically healthy and active, have good social interaction skills, and get plenty of rest. in other words, all of these factors create a sound, healthy base for a growing child.",Finland,3,People,2.6 Other,"We develop, produce and subcontract products designed for kids’ long-term health and wellbeing.",Finland
1765,1765,Tykn,https://tykn.tech/,Rainmaking,"a startup leveraging Blockchain technology for the building of safe, private and interoperable electronic identity, authentication and trust service (eIDAS) tools",Netherlands,1,People,1.2 Digital Records that Empower the World's Poor,Identity and access management system,Netherlands
1766,1766,N2 Applied,http://n2.no/,Rainmaking,"N2 Applied AS serves as a nucleus for the development of new technologies within the area of nitrogen. We work with an international network and assess new technologies within areas of competence where the founders have particular insight and a competative advantage. Based on these evaluated concepts, N2 Applied develops new businesses.",Norway,11,Prosperity,,Nucleus for the development of new technologies within the area of nitrogen,
1767,1767,sistine solar,https://www.sistinesolar.com/,Rainmaking,"jaegerfelt sistine solar is making solar power more aesthetically pleasing by designing panels that integrate visually with the surrounding architecture. installing solar panels on roofs can change the aesthetics of a building. some homeowners and companies decide against investing in solar power simply because they think the panels will damage the ‘look’ of their properties. sistine solar has developed solarskin, a method for layering visual graphics over solar panels without impairing their efficiency. solarskin allows them to design and install more attractive solar panels using customizable graphics. this makes it possible for homeowners to purchase solar panels that are custom-matched to the color or pattern of their particular rooftop or facade. alternatively, business owners can also choose to cover their solar panels with branding, serving as advertising to passers-by. for solar to become ubiquitous, it must tug at the heartstrings. and we believe the way to someone’s heart is through effective design. ido salama – co-founder, sistine solar. why you should care solar energy is the most abundant energy source on the planet , but at present solar accounts for less than 1% of electricity production in the usa . while the cost of solar panels has decreased substantially, the appearance of the panels has not changed much. this solution allows solar power to look better and more visually integrated, making solar a more appealing option for more building owners.",USA,7,Prosperity,7.2 Energy Sources,aesthetic customized solar panels,United States of America
1768,1768,UCASH,https://ucash.co.in/,Rainmaking,canada-based company offering both blockchain and traditional banking services through their cloud-based customizable software,India,1,People,1.1 Mobile connectivity for financial inclusion,"Ucash offers e-wallet services. Services offered include mobile recharge, DTH, recharge, data card recharge, money transfer, travel bookings, bank transfer, and white-label solutions.",India
1769,1769,Ugglo Utbildning AB,http://www.ugglo.se,Rainmaking,"Ugglo is a digital library of children books. It provides access to fictional and fact-based audiobooks and picturebooks on-demand in preschool and school. Features include books in various different languages, fact-based literature, and more. Also provides teacher's guide for preschool and school. The app is available on android and iOS platforms.",Sweden,4,People,,"A service adapted for how children learn best, instead of children adapting how they learn",Developed Markets
1770,1770,UglyGood,http://www.uglygood.com.sg,Rainmaking,"UglyGood is a biotech startup focused on the creation of a circular economy around food byproduct wastage in the F&B industry. Currently, we help turn fruit waste (fruit pulps and peel byproducts) into animal feed and natural bio-based cleaning agents (i.e. waste valorization). We have since diverted over 40,000kg of fruit waste away from local landfills.By further leveraging on bioprocessing partnerships with research institutions such as A*STAR we are exploring to transform organic byproducts into other higher value products such as essential oil and high value enzymes as well.",Singapore,2,People,2.1 AgTech for Sustainable Farming,The UglyGood Project aims to transform organic waste into valuable resources & products through application of scientific research and sustainable organic waste recycling initiatives. It impacts environmental sustainability.,Singapore
1771,1771,UjuziKilimo,http://ujuzikilimo.com/,Rainmaking,"Ge$4 Billion worth of fertilizer is lost annually due to wrong application and poor farm practices among small scale farmers across developing countries, who account for 80% of food produced. UjuziKilimo is the world's first data driven digital agronomy platform for the world's small holder farmers. UjuziKilimo uses innovative data acquisition technologies including soil sensors, mini weather stations & satellite imagery together with a comprehensive database to collect and analyze farm data to help farmers and agriculture players make data driven decisions and build targeted services. UjuziKilimo utilizes data science and machine learning to provide actionable agronomic insights to farmers; business intelligence & predictive analytics to Agriculture service providers & businesses through a fully integrated data platform, powered by millions of data sets. We collect data such as Soil Macro nutrients levels, pH, Soil moisture, Weather information, Financial records & market information to help farmers and agriculture players make precise decisions.",Kenya,2,People,2.2 Digital technologies for Smallholder Farmers,Collecting & analyzing millions of data sets to inform the ag. industry,Kenya
1772,1772,Skypull,http://www.skypull.com,Rainmaking,"Skypull is an Altitude Wind Energy system, which consists of an autonomous flying device (drone) connected through a tether to a ground-based generator. The drone transforms the wind power available between 200 and 600 m above ground into traction on the tether. The tether is unrolled from a drum connected to a generator that produces electricity. The drone has a proprietary airframe and a high-efficiency wing foil (patent). It is totally autonomous and has all the necessary safety redundancies.",Switzerland,7,Prosperity,7.2 Energy Sources,Airborne wind turbine system developers,Switzerland
1773,1773,ULink BioEnergy Pvt Ltd,www.ulinkorganics.com,Rainmaking,"ULink Organics is a leading manufacturer of organic fertilizers and organic foods based in Mumbai, India. The fertilizers specifically address the serious modern day concerns about soil and environmental degradation and the threat posed to human health as a result of excessive use of chemical inputs. They are bio-degradable, environment friendly and have the ability to enhance yields and improve produce quality.",India,2,People,2.1 AgTech for Sustainable Farming,We see a pan India presence for the AgroStar platform servicing farmers in remote villages in almost every state of the country. We see them improving their farm productivity by sourcing good quality inputs from us and hence directly impacting their stander of living and livelihood.,India
1774,1774,Umati Capital,https://umaticapital.com/,Rainmaking,Umati aims to increase the amount of financing available to companies working within the agricultural value chain that have limited or no access to financing from traditional sources providing a faster and a more affordable option to customers.,Kenya,9,Prosperity,9.4 Data-based SME financing for developing markets,To increase the amount of financing available to companies.,Kenya
1775,1775,UniqKey,https://uniqkey.eu/,Rainmaking,"Uniqkey provides cloud-based solutions for protecting passwords and online identity. The product offers identity & access management, software asset management, Password management. The features of the product include data breaches reduction, centralization, inactive license prevention, geo-location, etc. It also provides the elimination of used passwords and prevents malicious attacks.",Denmark,16,Peace,,Uniqkey is danish cybersecurity company who works with password management and cloud-service security.,Developed Markets
1776,1776,UNIspotter,http://www.unispotter.com/,Rainmaking,"UNIspotter allows aspiring students to find study programs that fit their individual criteria, provides them all the relevant information and coaches them during their application procedure.",Austria,4,People,,Using technology to aggregate and simplify the university application experience. Creating a personal journey for young people harnessing excitement when connecting with the perfect university.,
1777,1777,Protix Biosystems,http://www.protix.eu/,Rainmaking,Insect based edible protein manufacturer,Netherlands,12,Prosperity,,"Produces, processes and supplies high-quality insect based ingredients",
1778,1778,Unumed,http://www.unumed.com,Rainmaking,"Unumed provides cloud-based hospital management software. It offers various features such as billing, insurance claim management, accounting & financial reports management, inventory & procurement management, HR management, record management, lab management, pharmacy management, appointment management, queue management, and more.",Denmark,3,People,,Unumed has a simple mission: Provide the best health software system to African; Middle Eastern and Asian health care facilities. To accomplish this mission we have designed and developed a unique hospital management system for all levels of health facilities. The system is user-friendly; affordable and integrated; and provides real-time information on facility performance. - - Who use our system? Well; doctors input clinical notes and speak to other personnel through the system; nurses register triage information; accountants make insurance claim reports; cashiers prepare bills; pharmacists keep track of inventory; front-desk receptionists register and direct patients to queues; lab technicians receive lab requests through the work flow module and managers can access a dashboard that streams real-time information on all of the above. - - At Unumed we believe this is a fantastic way of supporting professional health service delivery. If you feel the same and would like to know more about how your facility can sign up for Unumed please get in touch.,Developed Markets; Emerging Markets; Frontier Markets
1779,1779,Up Top Acres,https://uptopacres.com/index.html,Rainmaking,"Up Top Acres is an integrated business involved in designing, building, and operating rooftop farms to supply the harvested produce to consumers, hospitality industry, and wholesalers. As of March 2017, the company operates 5 rooftop farms and cultivates a range of vegetables including green leafy vegetables and salads. The company supplies its produce to consumers either through community supported agriculture or through farmers' markets.",USA,2,People,2.1 AgTech for Sustainable Farming,Integrated business involved in operating rooftop farms and supply of produce,United States of America
1780,1780,Updatemi,http://www.updatemi.com/,Rainmaking,Update made easy! updatemi searches millions of data and provides summarized and relevent information & news,Austria,4,People,,Reduce Reading Time by up to 90%,
1781,1781,Upinion,https://upinion.com/,Rainmaking,Upinion promotes inclusiveness and effectiveness of humanitarian support. We build panels in crisis areas around the world using mobile technology.,Netherlands,16,Peace,16.4 Civic tech platforms,Amplify voices in crisis situations,Netherlands
1782,1782,SmartRent,smartrent.com,Rainmaking,"Smartrent is a company that provides home automation solutions. Property managers, owners, and renters can control locks, camera, light & thermostats, respond/raise maintenance issues, track asset performance, control/track energy consumption, predict maintenance issues, schedule repair work, and more. One can monitor multiple rental units from anywhere. The company also provides a mobile application.",USA,7,Prosperity,7.3 Energy Storage,Home automation solutions,United States
1783,1783,Uport,https://uport.me,Rainmaking,a Self-sovereign identity and user-centric data platform built on Ethereum: the keys to the digital world you've always wanted.,USA,1,People,1.2 Digital Records that Empower the World's Poor,a Self-sovereign identity and user-centric data platform built on Ethereum: the keys to the digital world you've always wanted.,United States of America
1784,1784,SMT Energy,https://www.smt-energy.ch/,Rainmaking,SMT Energy Storage provides electrical energy systems to residential and commercial buildings. The energy storage systems can be integrated with solar panels and electricity from the grid and can be used for shifting and reducing peak load and continuous power supply. Claims that the product is significantly reliable than lithium-based energy storage system and can be used for longer time than other regular systems. Claims that the system comes with the storage times of up to 12 hours.,Switzerland,7,Prosperity,7.3 Energy Storage,Electrical energy storage system developer,Switzerland
1785,1785,Upstream Tech,http://upstream.tech,Rainmaking,"Upstream measures and monitors irrigation over vast geographic areas with field level precision by combining a range of satellite and meteorological data sources. By quantifying water usage, our technology will promote efficient water markets, empower environmental conservation, and reward farmers who produce more food with less water.",USA,13,Planet,13.9 Mitigation Enablers,Upstream Tech monitors and measures freshwater resources from space with machine learning and satellite imagery,United States of America
1786,1786,Urban Remedy,https://www.urbanremedy.com/,Rainmaking,"Urban Remedy is a line of raw, ready-to-eat snacks, meals, cold-pressed juices and energy boosting tinctures. In addition to selling their juices, cleanses and prepared foods online, the company currently has three retail locations in the Bay Area (San Rafael, Mill Valley, Marina) as of Nov 2015.",USA,2,People,2.6 Other,Food is Healing,"Global, Africa, Americas, Asia, Europe, Oceania"
1787,1787,Recommerce Group,https://www.recommerce-group.com,Rainmaking,Software-based platform for second-hand goods,France,12,Prosperity,,"European pioneer in buyback, refurbishment and sales of second hand smartphones",
1788,1788,Solar Now,http://www.solarnow.eu,Rainmaking,SolarNow designs and sells an innovative modular product range that is distributed through a franchise network in rural Uganda. The product comes with a 12 months credit facility. The operations follow a simple highly standardized and low cost design.,Uganda,7,Prosperity,7.2 Energy Sources,Powering your life.,Eastern Africa
1789,1789,Solar Site Design,http://www.solarsitedesign.com/,Rainmaking,"Solar Site Design is a collaborative, cloud-based content management platform that offers a complete project development solution for solar professionals. Its mission is to offer the Solar Site Design information technology platform to solar professionals worldwide.",USA,7,Prosperity,7.4 Energy Enablers,Its mission is to offer the Solar Site Design information ...,United States of America
1790,1790,UrbnEarth,http://urbnearth.com/,Rainmaking,UrbnEarth makes guided gardening kits that empower everyone to experience the health benefits of homegrown food. We think that food doesn t have to be passive. It doesn t have to come from the supermarket or from a fast food restaurant.,USA,2,People,2.1 AgTech for Sustainable Farming,Focused on providing solutions for city dwellers to grow food,United States of America
1791,1791,Usafi Sanitation,http://usafisanitation.com/,Rainmaking,70%^ of Kenyans have no access to clean water and sanitation. We are looking to solve this problem by providing low cost eco friendly toilets . This will prevent contamination of water bodies.,Kenya,6,People,,"We market , sell and install low cost environmental friendly toilets. These are waterless, on-site, dry sanitation toilet system.",
1792,1792,Ushahidi,ushahidi.com,Rainmaking,"Ushahidi is a non-profit software company that develops free and open source software for information collection, visualization and interactive mapping.Ushahidi (Swahili for “testimony” or “witness”) created a website (http://legacy.ushahidi.com) in the aftermath of Kenya’s disputed 2007 presidential election that collected eyewitness reports of violence sent in by email and text-message and placed them on a Google map.The organization uses the concept of crowdsourcing for social activism and public accountability, serving as an initial model for what has been coined as ‘activist mapping’ - the combination of social activism, citizen journalism and geospatial information. Ushahidi offers products that enable local observers to submit reports using their mobile phones or the internet, while simultaneously creating a temporal and geospatial archive of events.",Kenya,1,People,1.3 Disaster risk reduction technologies,Crowdsourcing crisis information,Kenya
1793,1793,Solelia Greentech,https://www.solelia.se/,Rainmaking,"solelia combines solar panels with electric vehicle (ev) charging stations in a flexible and innovative system, that can be used by families, businesses or municipalities. solelia’s ‘solbank’ is exactly what it sounds like: a bank for solar energy. every kwh produced in a connected solar installation is deposited into the owner’s solar account and can then be used at any time – even when the sun is not shining. this can be used by people who own an electric vehicle or companies who wish to offer solar charging services to customers. solelia greentech offers solutions for charging electric vehicles with clean solar electricity around the clock, with the solbank system. carolina johansson – co-founder and ceo, solelia greentech using ‘guarantees of origin’ from the grid operator, solelia can confirm that all electricity used to charge evs comes from solar sources, and smart energy meters at the charging stations can communicate regularly with the solbank, allowing close to real-time information of when and where solar power is produced and used. this in turn gives the opportunity to optimize the use of solar power. why you should care transportation accounts for over around half of global oil consumption , and this share will increase if the number of passenger cars doubles as predicted by the iea. replacing gasoline cars with electric cars is not as environmentally friendly if they are driven on fossil fuel-derived electricity. wwf estimates that solelia’s solar-powered charging can save 21 million tons of co2 emissions per year by 2022 .",Sweden,7,Prosperity,,Solar power is sustainable - Solar electricity can be produced locally; reducing distribution losses and relieving the load on the power grid; besides being a renewable energy source. - Charging points connected to Solarcharge Systems will be provided with a Solarcharge Certificate that verifies the use of solar energy and gives a strong environmental profile. - - The need for electric vehicle charging points increases rapidly. It will be a challenge for both individual property owners and society in general. The risk is obvious that the power grid; both locally and nationally will be exposed to high loads. This leads to an increased need for investment in new electricity power supply and other infrastructure measures. - - - At the same time an increasing number of electric vehicles charged via the electricity grid will lead to a growing battery capacity for electrical energy. This new resource will also increase the potential for utilising locally produced solar electricity. The load on the grid will be reduced while the potential for new production of solar electricity increases. - Charging points will be certified for using solar electricity primarily from local or owned production. If locally produced solar energy is not available; the charging point will be supplied with solar power from other producers through issued guarantees of origin. Charging electric vehicles at a certified solar charging point can be sure to always get 100% solar. - If a solar power installation is connected directly to the charging points the vehicles can be charged with higher power when the sun is shining; which requires a straight-forward control. The self consumption can be increased and the purchased electricity reduced. With so-called forecast control the charging can also be controlled by the estimated future solar radiation. With Solarcharge Systems charging peak loads can also be avoided during high electricity prices; or when other needs must be prioritised.,Developed Markets
1794,1794,Vacation Homes for Charity,http://www.vacationhomesforcharity.org/,Rainmaking,Charities and non profit organizations have the difficult task of remaining focused on their mission whilernliving in the reality of generating funds to keep their vision alive. VacationHomesForCharity exists to help these charitiesrnreach their fundraising goals while fulfilling their missions.,USA,16,Peace,16.4 Civic tech platforms,Helping charities raise more money at their fundraising events.,United States of America
1795,1795,Vägen ut Kooperativen,https://vagenut.coop/,Rainmaking,Sweden's largest franchise chain of social enterprises,Sweden,8,Prosperity,,WE CHANGE SOCIETY EVERY DAY. DEAL WITH US AND MAKE A DIFFERENCE.,Developed Markets
1796,1796,Valid Nutrition,http://www.validnutrition.org/,Rainmaking,"Valid Nutrition is an ambitious social enterprise that is aiming to unleash a disruptive change in how the problem of malnutrition is addressed. They design, manufacture and market nutritional pastes for the prevention and treatment of malnutrition in developing countries. By regarding malnourished children as customers and by empowering mothers together with an innovative evidence based and business driven approach, they intend to be a catalyst for a sustainable solution",Ireland,2,People,2.5 Food Science and Genomics for Nutrition,Prevention and treatment of malnutrition in developing-countries.,"Malawi, India, United Kingdom of Great Britain and Northern Irela"
1797,1797,Valley Agronomics,valleyag.com,Rainmaking,"Valley Agronomics offers precision agriculture solutions. Its solutions include soil testing, analysis and EC mapping of farms to develop fertilizer dosages, seed rate, and irrigation schedules. Also, offers aerial imagery through a tool, MavRX. Additionally, offers R7, an integrated field monitoring tool for farmers to monitor fertilizer application precisely.",USA,2,People,2.1 AgTech for Sustainable Farming,Offers precision agriculture solutions,United States of America
1798,1798,VALOPES,http://www.valopes.com,Rainmaking,"Valopes enhances the value recovery from waste streams by digitizing the process of gathering and processing waste data at operational point at enterprises. From this point ahead where the quality of the waste data generation has been secure we assure traceability through out a communication module that share information and responsibility with service providers along the waste value chain. And last we will be supporting in the near future transactions within industrial actors (Industrial symbiosis) that transform waste into resources. Our software-as-a-service provision helps customers covert their waste, materials and equipment into valuable resources through their closed-loop system. Valopes provides a cloud-based platform that enables their clients to adopt circular principles, regardless of industry or size. Our solution allows enterprises to document, track down, and understand their waste stream through digital record documentation and accountability. While enabling a digital channel along the value chain so service providers can document about the transformation process perform during the value recovery of the waste stream or final disposition (less desirable). Valopes works to help clients reduce the financial and environmental costs of CO2 generated from using virgin materials in production, and eliminate waste to landfill, promoting circularity across industries.",Chile,9,Prosperity,9.2 Advanced technologies for sustainable industry,Digitazing the Waste Industry for transitioning from waste to wealth.,Chile
1799,1799,Van Boven Drones,https://www.vanboven-drones.nl/,Rainmaking,Van Boven Drones flying sensor enables mapping of this crucial resource at a fair price. Our data empowers people worldwide to regain control over the earth's most precious source of water.,Netherlands,9,Prosperity,2.1 AgTech for Sustainable Farming,VanBoven provides farmers with an innovative 'drones-as-a-service'​ model.,Netherlands
1800,1800,van de sant innovations,https://www.vandesant.com/,Rainmaking,"van de sant innovations designs and manufactures furniture using an unconventional ingredient – discarded plastic. van de sant innovations has discovered a way to reintegrate plastic waste into the value chain. the company designs and manufactures furniture that is made from discarded plastics, collected from both land and oceans. all the components of the furniture contain reused or recycled ingredients, including the foam filling and fabric covers, meaning each piece of furniture is composed of about 75% recovered materials. the company also works closely with bionic in furniture production, who makes fabrics, yarns, and threads from recycled marine plastic. van de sant innovations designs the furniture and builds the frames, and the stylish fabric coatings are produced by bionic. the furniture is designed with durability in mind, in order to tackle the stream of low cost, low quality furniture ending up as waste. recycled plastic can be easily manufactured into furniture and has ideal characteristics of durability and resistance to chemicals and corrosion. why you should care due to their remoteness, small populations, and lack of available land, small island nations struggle to manage waste streams. this is exacerbated by pressures from large tourism industries. this means there is an urgent need to reduce waste volumes and make value chains more circular.",Netherlands,14,Planet,14.1 Marine Cleanup Technologies,furniture extends life-cycle of plastic waste,Netherlands
1801,1801,Solstice Initiative,https://solstice.us/,Rainmaking,Our mission at Solstice is to build awareness about community solar and to enroll households and local organizations in nearby solar gardens particularly in lower and moderate income areas.The result is good for everyonemore Americans enjoy the benefits of solar power stronger communities and a better chance for the planet s future.,USA,7,Prosperity,7.4 Energy Enablers,Expand access to clean energy in the United States.,United States of America
1802,1802,Vinted,http://www.vinted.com,Rainmaking,Online marketplace for pre-owned fashion products,Lithuania,12,Prosperity,,"A place for girls and women to buy, sell, and swap clothes",
1803,1803,Veerhouse Voda,http://www.veerhousevoda.com/,Rainmaking,"Veerhouse Voda is actively involved in providing low cost, environmentally sustainable houses and building systems for Haiti and other countries around the world. Veerhouse Voda's unique building system can be used for any type of structure and allows a build time much shorter than traditional builds.",USA,13,Planet,13.5 Decarbonised Buildings,Providing Environmentally Sustainable Buildings to Haiti.,United States of America
1804,1804,VenomAid Diagnostics,http://www.venomaid.com,Rainmaking,VenomAid provides diagnostic solution to the snakebite crisis. The product is a point-of-care device that provides a diagnostic result within minutes along with identifying the type of snake. The device works when loading blood is transferred directly from the site of the bite onto the device.\r,Denmark,3,People,,Each year more than five million people are bitten by venomous snakes. Snakebite envenoming calls for rapid diagnosis and correct treatment to avoid death and disability. VenomAid presents a solution to this problem: A cheap; easy-to-use; point-of-care device that provides a reliable diagnostic result within minutes.,Developed Markets
1805,1805,Ventures Dialogue,http://www.venturesdialogue.com/,Rainmaking,"Ventures Dialogue is a platform for education, collaboration and dissemination of investment opportunities tailored to meet the specific needs of African founders and entrepreneurs.",Nigeria,4,People,,"Ventures Dialogue is a platform for education, collaboration and dissemination of investment opportunities tailored to meet the specific needs of African founders and entrepreneurs.",
1806,1806,Verde Smart,verdtech.es,Rainmaking,"Verde Smart is a company engaged in the collection of agricultural farm data and its analysis in order to conserve farm inputs and increase land productivity. It collects data from land using latest technologies such as remote sensing, moisture sensors on the floor, plant dendrometer, moisture and soil salinity sensors, nitrate & potassium Nutrisens probe, etc. The company then combines this data with other information such as weather forecast and based on its analysis, provides information to control the vegetative development, increase the quality of the soil, save water and improve productivity.",Spain,2,People,2.1 AgTech for Sustainable Farming,Collection and analysis of agricultural farm data,Spain
1807,1807,Verif-y,https://verif-y.com/,Rainmaking,"a company active in digital identity that has established a blockchain-based, digital identity solution layer to its existing credential and employment verification platform",USA,1,People,1.2 Digital Records that Empower the World's Poor,Verif-y is a user owned and managed digital identity software.,United States of America
1808,1808,Verlasso,http://www.verlasso.com/,Rainmaking,Verlasso is raising salmon in harmony with the natural environment Verlasso is working to evolve traditional aquaculture practices through innovations that achieve balance with the planet. They are committed to continuous improvement of our farming practices.,USA,14,Planet,14.5 Sustainable Seafood Solutions,working to evolve traditional aquaculture practices,United States of America
