,index,Company,Website,Source,Description,Location,SDG Goal,five Ps,Rainmaking SDG Subtopic,Impact Statement,Location of Impact,Primary SDG,Additional SDGs,sub target,Source link,Multy label
375,375,Mimerse,https://mimerse.com/,Plus impact,"Mimerse is a virtual pharmacy. Mimerse was founded in 2014 with the goal of creating revolutionary automatic mental wellness applications using immersive technologies. Our team has proven track record in clinical psychology, VR research, healthcare and entrepreneurship. This virtual reality platform for evidence based apps that can improve, manage and treat the minds of millions. Mental health is one of the largest, yet tragically overlooked problems, in the world right now. Our mission is to change this.",Sweden,"3,10,",,,,,SDG 3: Good Health and Well-being,,,https://plusimpact.io/startups/mimerse,1
376,376,ENSAVETEC,http://ensavetec.com/en/,Plus impact,ENSAVETEC is an innovative technology company which offers effective solutions for living and saving energy. The ENSAVETEC shower water heat recovery device recovers energy that would otherwise go down the drain. The recovered energy is used to preheat the cold water feeding the shower. This significantly reduces the need for hot water and saves energy every time you take a shower. We are creating a cleaner future together by saving energy.,Mikkeli,"9,11,12,",,,,,,,,https://plusimpact.io/startups/ensavetec-1,1
377,377,Lingo Studios,https://lingostudios.com/,Plus impact,"The exercises in Mambo Pedagog are based on knowledge of the language development. Mambo Pedagog is aimed at children aged 3-6, but is also suitable for the elderly children who for different reasons have difficulty with the language. We have created an app that educators can easily use in their daily work with children's language development. The purpose of the app is to make it easier for educators to give children the linguistic stimulus they need. We want to help raise the curiosity of the language of the children and inspire educators to also work with the language outside the app. The app can be used both individually and in smaller groups, which makes it easier to work with the children who need extra language training without the educator having to spend time making new material. About 5% of children in preschool age have some kind of language disorder. Children who have linguistic difficulties are not only at risk of learning difficulties, but also at high risk of developing a sense of failure, behavioral problems, cognitive difficulties and may also have difficulty in getting friends. By putting in the right efforts early, any future problems can be reduced.",Sweden,"4,9,10,",,,,,,,,https://plusimpact.io/startups/lingo-studios,1
378,378,Nextfood,https://nextfood.co/,Plus impact,"Nextfood’s farming technology enables anyone to grow deliciously fresh, flavourful, nutritious and pesticide-free vegetables anywhere year-round. Our autonomous grow system makes growing high quality crops easy and predictable – no plant knowledge required and no hassle: choose crop variety, quantity and harvest date, and let the grow system take care of the rest. Our distributed network of local farms are all controlled by a central cloud intelligence ensuring automated ease. Local, efficient production keeps the natural nutrients intact, and reduces food waste and the environmental footprint.",København,"9,11,12,",,,,,,,,https://plusimpact.io/startups/nextfood-1,1
379,379,Veras,https://verasvintage.dk/,Plus impact,"In Veras you can easily exchange, buy and sell recycled clothing. You are guaranteed value for all your clothes when you trade and sell, and when you purchase finds from our sustainable concept, you know that they are filed by local Veras users. We do not buy any clothes - and no clothes are wasted. Veras mission is to contribute to a greener world by minimizing the amount of clothing waste. Veras wants to change the Danes consumer behavior by using existing resources and recycled their clothing items through Veras and therefore minimizing the amount of newly purchased clothes and the amount of discarded clothing. Veras gives everyone the opportunity to shop without having to compromise with the environment and everyone can easily renew their wardrobe in a sustainable way. Through Veras circular clothes and exchange concept in the stores and our reusable clothing markets, Veras Market, women can exchange or sell their clothes and that way renew their closets in a sustainable way.",København,"11,12,",,,,,,,,https://plusimpact.io/startups/veras,1
380,380,EnviroNor,http://www.environor.com/,Plus impact,"The main purpose of EnviroNor is to provide “Water On Demand” through seawater desalination, wastewater treatment, and water purification. For this application we repurpose vessels and adjust the vessel for the project (e.g. product tankers, barges, and platform supply vessels). The EnviroNor concept is designed to replace or supplement onshore infrastructure in coastal areas, serving both municipal and industrial needs. Our units can also be deployed to provide clean water in emergency and disaster situations. EnviroNor’s aim is to provide coastal regions with clean water and protect the marine environment from urban pollution.",Norway,"6,9,11,",,,,,SDG 6: Clean Water and Sanitation,#12,,https://plusimpact.io/startups/environor-1,1
381,381,Listen,http://listenas.com/,Plus impact,"Our technology is developed by the leading Scandinavian research organization SINTEF. MobileEars helps people hear better, in normal conversations and when listening to music, watching TV, and at concerts, conferences and in other environments where quality listening is challenging. Our solution includes software for speech and sound frequency amplification, noise filtering and removal, and selective, directional listening. Our software runs on smartphones and dedicated wearables. Our mission is to give everyone, everywhere an attractive, affordable and easier access to great hearing.",Norway,"3,10,",,,,,,,,https://plusimpact.io/startups/listen,1
382,382,Swedish Algae Factory,https://swedishalgaefactory.com/,Plus impact,"Swedish Algae Factory is the only company in the world that cultivates these algae called diatoms that have evolved a unique shell to survive and sells their high-tech silica shells. Our mesoporous silica replaces harmful and less efficient chemicals in solar panels and in high-end organic personal care, while cleaning our oceans. Swedish Algae Factory operates in harmony with nature, in real time. We cultivate our own algae, based on a circular economic mindset where carbon dioxide, nitrogen and phosphorus emissions are converted into valuable products.",Sweden,"7,12,14,",,,,,SDG 14: Life Below Water,,,https://plusimpact.io/startups/swedish-algae-factory,1
383,383,Freelway,http://www.freelway.com/,Plus impact,"Freelway is a cloud-based service that can be used by the public sector. The service can be used by sending packages or arranging car sharing after you have created a free account with Freelway via the app or the web. The service is completely free to use for private individuals. You save money and time when you get help with your cases. You can also order goods from affiliated companies and have them delivered to you free of charge. By using the service you meet friends and neighbors and at the same time make exciting new acquaintances. As a private individual, you can use the service to order deliveries between private individuals, eg. if you forgot your mobile charger or exercise bag etc. With Freelway, every user can influence and make a difference for the environment. All transports made are visible - and easy to match with people and packages that are going in the same direction.",Sweden,"9,11,",,,,,,,,https://plusimpact.io/startups/freelway,1
384,384,Greenely,https://www.greenely.se/,Plus impact,Greenely analyzes your electricity consumption and compiles a report every week. At the end of the month you get a summary for the period. You get a good overview of where you have the greatest potential for saving money. It allows you to interpret your electricity invoice easier with a clear reference. Greenely compares your consumption with how similar households use electricity. It keeps an eye on your utilities and warns you when your consumption has exceeded the normal limits. You can see how you are facing comparable households over time. Get hands-on tips on how to save more money and electricity the best.,Sweden,"7,11,12,",,,,,SDG 13: Climate Action,,,https://plusimpact.io/startups/greenely-1,1
385,385,Tracegrow,https://www.tracegrow.com/,Plus impact,"Think of a fertilizer containing only recycled ingredients and EU-approved for organic farming and made of micronutrients extracted from dead alkaline batteries in a sustainable process. We thought of it, and made it. Its name is ZM-Grow™ and it works. With our technology over 90% of the trace elements in alkaline batteries can be reused. We make organic fertilizer out of micronutrients extracted and purified from used alkaline batteries. Our goal is to minimize the exploitation of our planet’s limited resources by reusing them wisely and for as long as possible.",Finland,"11,12,15,",,,,,,,,https://plusimpact.io/startups/tracegrow,1
386,386,GreenBird Integration Technology,https://www.greenbird.com/,Plus impact,"Utilihive is a unique integration Platform as a Service (iPaaS) built for utilities. Greenbird believes that utilities powered by Utilihive can transform from traditional grid operators to platform operators that will create more innovative services in the new digital energy markets. They can be in the driver’s seat for driving innovation. Utilihive is built with cloud native technology and ready for the energy revolution. Utilities can take a proactive role in the energy revolution, or be left behind as more flexible, more efficient and innovative competitors and alternatives overtake them. Disruptive and data driven business models will dominate the energy industry. Right now, utilities have a substantial opportunity to take the role as a platform operator enabling innovation and driving the energy revolution. Utilihive empowers utilities to manage the data flow for utilities faster and smoother than traditional system integration models and to accelerate the journey towards becoming a digital platform utility.",Norway,"9,11,12,",,,,,,,,https://plusimpact.io/startups/greenbird-integration-technology,1
387,387,Heliostorage,https://heliostorage.com/,Plus impact,"Our high temperature bedrock storage technology provides all year solar heating for real estate owners paying for expensive fossil based heating. We collect solar heat, store it at 70°C in the bedrock and recover it for heating in winter. Unlike heat pump systems, our seasonal heat storage solution only has the running cost of a water circulation pump. Our vision is to contribute to a cleaner environment by designing, manufacturing, selling and delivering zero emission heating systems based upon seasonal storage.",Finland,"7,11,12,",,,,,,,,https://plusimpact.io/startups/heliostorage,1
388,388,Learnox,https://www.learnox.se/,Plus impact,"Learnox retraining program offers schools and municipalities a concrete measure for students who for various reasons do not attend school. The essence of Learnox Special Support is lessons online through our lesson platform. We work with interest-based and customized syllabuses. Learnox is not a distance education or distance education school, but a service for schools and municipalities with the goal of helping the student return to the classroom. Online one-to-one lessons are offered for pupils sitting at home. We work specifically to break an isolated absence situation and help the pupil to a safe return to school. The goal is to build self-confidence, revive the desire to learn and strengthen the student's subject knowledge to help with the transition back to school.",Sweden,"4,9,10,",,,,,,,,https://plusimpact.io/startups/learnox,1
389,389,Paptic,https://paptic.com/,Plus impact,"Paptic is a pioneer in the fight against plastic pollution. Since December 2018 renewable, reusable, recyclable Paptic® Tringa material has been available for sustainability oriented brand owners & retailers. We are providing our customers with renewable materials that are easy to take into use and are preferred by the consumers, we can accelerate the movement towards a better world. Products made of Paptic® can and should be used more than once, even more than 10 times, as it´s strong, folds nicely and doesn’t rip easily. The reusability combined with recyclability makes Paptic® bags the most sustainable alternative for traditional single-use carrier bags. Our mission is to provide a sustainable alternative to plastic films. It is our mission to cater industries and companies with a material that is eco-friendly, sustainable, and desirable. To offer products that help our globe survive. We want to make lasting change possible for all consumers and businesses.",Espoo,"9,11,12,",,,,,SDG 11: Sustainable Cities and Communities,,,https://plusimpact.io/startups/paptic-1,1
390,390,Enlightaid,https://www.enlightaid.org/,Plus impact,"EnlightAID is a technology to track and report, in real-time, the path funds travel from the fundraising moment and up to when, where and on what they are spent. Imagine a world where the second an organization makes a transaction to build one of these projects, it gets published so the whole world can see it. Imagine the information is published in a way that is easy to access, simple to understand and can be compared to similar projects. This will increase engagement within the community, while supporting crossed feedback and guaranteeing resource use transparency, thus discouraging corruption. That is EnlightAID. Corruption hides behind volume, anonymity and is aided by static reporting systems, cultural components and the belief that it is a necessary evil. This is why we have created EnlightAID a proprietary technology to track and report, in real-time, the path funds travel from the fundraising moment and up to when, where and on what they are spent. Effectively, we have created a real-time public auditing system with the goal of ending corruption within aid’s value chain. By providing fundraising, reporting, communication, social engagement and geolocation tools, EnlightAID redefines what we expect from aid.",Norway,"10,11,16,",,,,,,,,https://plusimpact.io/startups/enlightaid-1,1
391,391,Sofi Filtration,http://www.sofifiltration.com/sofi,Plus impact,"We have patented a self-cleaning technology that takes microfiltration to the next level. Sofi Filter treats large streams of water containing fine particles that are difficult to treat with traditional methods. The overflow of the settling tank is pumped to Sofi Filter via a centrifugal pump. Due to the filter’s cross-flow design, part of the feed flows through the filter element and part returns to the process. In this application Sofi Filter is equipped with a 10 µm metal wire mesh element. The filtrate from Sofi Filter can be drained or reused. Sofi Filter reduces the amount of water in the settling tank and concentrates the solids so that they can be removed with the screw conveyor. Waste incineration generates a high humidity flue gas that also contains contaminants due to fuel. Flue gas condensing is a cost-efective and ecological way to increase the boiler's district heat production. The condensate formed in flue gas condensation is with proper treatment usable to replace potable water as raw water. Due to the specific challenges of waste incineration, the Sofi process delivered does not discharge any water into the sewer.",Espoo,"6,11,12,",,,,,,,,https://plusimpact.io/startups/sofi-filtration,1
392,392,Waste2Value,https://www.waste2value.net/,Plus impact,"Waste2Value is a digital marketplace for business to business trading with industrial waste; redefining waste management for economic and environmental sustainability. Waste2Value links buyer and seller of waste, lowers the cost for waste management and closes the loop for a Circular Economy. All industries have to deal with waste. Today, companies pay to recycle, incinerate or get their waste land-filled which is costly for both companies and environment. Much of this waste could be transformed into something valuable by other actors. The problem is that these two sides of the market have no easy way of finding each other.",Stockholm,"11,12,13,",,,,,,,,https://plusimpact.io/startups/waste2value,1
393,393,Teraloop,https://www.teraloop.org/,Plus impact,"Teraloop is a grid-scale energy storage system that can sustainably service niche markets difficult to address for current technologies. We are innovating on new materials that enable future flywheels with upgraded performance, lower cost and environmental impact as well as compatibility with circular economy. Our system operates in synergy with renewable generation assets, balancing the natural variation of supply and demand. By enabling a fully renewable electricity generation system, it can safeguard the World’s resources for future generations. Providing access to energy is the single most effective way to reduce poverty. Our business is all about facilitating that process in a sustainable way by enabling access to increasingly renewable energy. Our goal is to be able to provide high-technology solutions which help to bring about better prosperity, inclusive business, local economic development, and increased resilience, capacity and well-being of our customers and other project beneficiaries. We provide energy storage solutions which help to stabilise the natural intermittency of solar and wind energy and provide protection against power quality issues and power outages. Our engineering expertise and project development business help to optimise the functionality of existing energy infrastructure.",Espoo,"7,11,12,",,,,,SDG 11: Sustainable Cities and Communities,,,https://plusimpact.io/startups/teraloop,1
394,394,Stingray Marine Solutions,https://www.stingray.no/avlusing-med-laser/,Plus impact,"Intelligent aquaculture technology from Stingray makes it easier for fish farmers to operate without compromising the environment and fish welfare. Stingray's system kills salmon lice with laser while also monitoring health of farmed fish 24/7. Proper control of lice and fish welfare results in less expensive treatment, more effective feeding and better control of fish health – on nature’s own terms. Stingray enables fish farmers to produce food sustainably through increased productivity and efficient production. By developing and promoting advanced technology, Stingray enable fish farmers to collect and analyse data while treating infected fish. The result is reduced wastage as well as a reduced effect on nearby ecosystems. They help fish farmers reduce handling, starving, injury and the use of chemicals. This results in better welfare and health for the fish, while improving slaughter quality and weight. The Stingray system does not affect the fish swimming in the pen and also fulfils the requirements of the Animal Welfare Act – provide freedom from hunger, physical discomfort, pain, injury, disease, stress, fear and freedom to behave naturally.",Norway,"9,12,14,",,,,,,,,https://plusimpact.io/startups/stingray-marine-solutions-1,1
395,395,Solelia Greentech,https://www.solelia.se/,Plus impact,"Solelia Greentech has specialized in developing and operating solar electricity services with a focus on applications where solar electricity will create maximum value added beyond the use of other types of electricity. Solarcharge Systems create unique offerings for the solar electricity charging of electric vehicles – enabling trading as well as control and distribution of solar electricity between producers, consumers and prosumers. All this while making a significant sustainability contribution being a pure and renewable energy source. Their top features include that it maximises the possible number of charging points and guarantees optimal future revenues, costs of purchased electricity and investment in charging points are reduced, increased revenues for solar power production, clear environmental profile increases the value of both property and charging points.",Sweden,"7,11,13,",,,,,SDG 7: Affordable and Clean Energy,,,https://plusimpact.io/startups/solelia-greentech,1
396,396,Pond,https://pond.global/,Plus impact,"Pond produces bio resin systems which are 100 % bio-based and fully bio-degradable in nature. They are suitable to bind many types of natural fibers such as flax, hemp, pineapple, palm leaves, cotton, banana and jute – resulting in making fully biodegradable products. The Pond bio resin system is suitable to be used to substitute traditional crude-oil resins in many industries, including the automotive, wind power, airplane, textile, construction, bottling and plastic packaging industry. At Pond we take great responsibility in helping governments, companies and ultimately the consumer make a sustainable choice. We are on an important quest to save our planet, by introducing a substitute to conventional plastic solutions and other products traditionally made with a crude-oil based resin. What makes the Pond resin systems remarkable and differentiated from other bio-based resins, is the strength properties achieved in the end product.",Denmark,"11,12,13,",,,,,SDG 12: Responsible Consumption and Production,,,https://plusimpact.io/startups/pond,1
397,397,Katam,https://www.katam.se/,Plus impact,"With the KATAM™ Forest app, whether a beginner or an expert, we will ensure you get access to professional level tools to help you make practical decisions about your estate. By video recording forest plot areas, the KATAM™ Forest smartphone app provides tree volumes, tree diameters, basal area, tree density and much more. KATAM™ TreeMap offers recordings using your own drone, upload to Katam cloud service and you will receive a georeferenced list of every single tree in your forest. In less than 24 hours. We understand that your needs extend beyond KATAM™ Forest, so we work with you to integrate your Katam Forest measurements into your own geo-information systems.",Sweden,"9,15,",,,,,,,,https://plusimpact.io/startups/katam-1,1
398,398,Ignitia,https://www.ignitia.se/,Plus impact,"Ignitia is the world’s first and most accurate tropical weather forecasting company. With over 84% reliability, Ignitia’s proprietary forecasting model predicts tropical weather patterns down to a hyperlocal range. The forecasts are delivered to West African farmers via SMS in partnership with mobile network operators. Ignitia's flagship product is a 48hour forecast message, delivered daily via SMS, directly to the subscribers phone. The forecasts also feature monthly and seasonal predictions and detail the likelihood, timing and intensity of the weather. The forecasts use 7 simple keywords that can be recognized by farmers, making Iska's data driven design user-centric. Each message is tailor-made to the farm's location using GPS and can be delivered to any basic mobile phone via SMS. At Ignitia, we are committed to conducting our service in a socially responsible and ethical manner, which is why all of our current and future profits are directly reinvested into our social mission; to empower intelligent decision making through highly accurate and affordable tropical weather forecasts.",Sweden,"9,10,13,",,,,,,,,https://plusimpact.io/startups/ignitia,1
399,399,Green Ideas,https://greenideasgroup.com/,Plus impact,"Green Ideas Group AB (GIGAB) is specialised in developing, selling and marketing technical solutions for the environment, in addition to consulting services to this end. Our unique patented sorting system (Sortér™) is designed to collect and sort organic, plastic and residual waste in households (to be transformed to soil) and take the remaining waste to be processed by a disruptive pyrolysis technology that requires no previous sorting and produces biofuel and energy. With the Wastend project our goal is to provide European countries with an innovative end-to-end waste management ecosystem covering all the steps in the municipal solid waste (MSW) value chain. Green Ideas Grooup AB cares about the planet and cares about the people. We believe that if everyone makes a small contribution, it will make a big impact on the planet. That is why our Sortér™, specially design for households, can make that small contribution that eventually will make the planet a better place to live.",Norway,"7,11,13,",,,,,SDG 12: Responsible Consumption and Production,SDG 11: Sustainable Cities and Communities,,https://plusimpact.io/startups/green-ideas-1,1
400,400,Endev,http://www.endev.fi/en/front-page/,Plus impact,"Endev LTD is a Finnish clean tech company that provides thermal treatment solutions for wastewater and other industrial sludges. Endev's innovative PAKU solution has been developed to handle municipal sludge locally, efficiently and economically. The technology utilizes the energy and nutrients from the sludge while destroying medical residues and micro plastics. The technology also reduces the amount of matter needed to transport from the wastewater treatment plant to a fraction and the residual ash can be used in making fertilizers. We at Endev believe in a future where today's waste streams are considered as valuable resources. Currently sludge that is the by-product of wastewater treatment is viewed as a waste that needs to be disposed of one way or another. We on the other hand think of sludge as a renewable resource that should be utilized to recover energy and nutrients. That is why our vision is to change the public view of sludge. We are doing this by providing cost efficient solutions for utilizing sludge streams on an industrial scale. Our innovative technology can turn sludge into sustainable energy and nutrients while eliminating contaminants.",Helsinki,"6,7,11,",,,,,,,,https://plusimpact.io/startups/endev,1
401,401,Ecobotix,https://www.ecobotix.com/,Plus impact,"Ecobotix is a high-tech start-up focusing on the development of innovative drone technology and ICT solutions for use in agriculture, horticulture, viticulture and more. We have a particular passion for organic crop growing and are actively seeking to develop and provide technology that supports this market trend. We believe that modern agriculture must always be both economic and environmentally sound. We have the vision of a world where healthy foods are accessible to everyone and can be produced without negative environmental impact. Ecobotix aims to become the European reference point for organic farming services by offering technological solutions with clear benefits for crop growers. Our mission is to develop and offer solutions that can eliminate the need for pesticide use. By combining biological control with modern technology, we can remedy pest problems under the conditions of nature and thus help to make it more attractive and efficient to grow organically.",Odense,"12,13,15,",,,,,SDG 12: Responsible Consumption and Production,,,https://plusimpact.io/startups/ecobotix,1
402,402,Carbons Finland Oy,https://carbons.fi/,Plus impact,"We have a purpose to develop ecological, revolutionary biochar solutions for the treatment of stormwater and seepage and runoff waters, landscaping and restoration of vegetation, composting and nutrient recycling and efficient organic farming. We produce carbon that does good, following the principles of sustainable development and the aim is to create high-degree added value GreenTech biochar products and international concepts.",Kouvola,"7,13,15,",,,,,,,,https://plusimpact.io/startups/carbons-finland-oy,1
403,403,Buddy Healthcare,https://www.buddyhealthcare.com/en/,Plus impact,"We want to solve the most significant problems hospitals, clinics and patients are facing in surgeries: patient adherence to treatment, late cancellations and no-shows, administrative work and care quality. The interactive timeline in the BuddyCare app provides patients with instructions precisely when they need them. The chronological order of events makes it easy for patients to follow everything that needs to be completed throughout the process. Buddycare assist the patient before and after the procedure, and helps the personnel to monitor and communicate with the patients.",Helsingfors,"3,9,",,,,,,,,https://plusimpact.io/startups/buddy-healthcare-1,1
404,404,Bright Sunday,https://www.brightsunday.com/,Plus impact,"We install our solar panels in areas that get lots of sun, on markets where the price of energy is high and electricity is still produced by burning fossil fuels. The electricity from the solar panels is used directly by the company where they are installed. That means that these companies “buy from themselves” with no need to pay any network charge or markup to a utility. Bright Sunday aims at maximizing CO2 intensive fossil energy offset.",Sweden,"7,12,",,,,,,,,https://plusimpact.io/startups/bright-sunday,1
405,405,Aqua Robur,https://www.aquarobur.se/,Plus impact,"Aqua Robur's product Fenix Hub combines the state of art wireless IoT communication with the innovative power supply, which replaces the need of changing batteries and digging for grid connections. It is a self-powered IoT device (RTU) design for the water sector. With its built in – hydro based – energy harvester, which efficiently transforms a small part of the energy in the water pipeline into accessible electricity, it enables measurement where it’s most needed and not only where there is access to electricity. Fenix Hub is developed to meet the needs of the modern remote measurement strategy, which strive towards real time data transfer and a high sensor density. In practice, this puts high expectations on the power supply to be flexible, durable and cost effective. This enables water utilties to adopt a smart water distribution strategy and working with DMAs or other measurement strategies becomes so much easier.",Sweden,"7,11,",,,,,,,,https://plusimpact.io/startups/aqua-robur,1
406,406,Alva,http://alvalinen.se,Plus impact,"Alva is a cotton bedding sets producer that aims to create a change in the current unfair situation towards cotton producers and the whole industry. Furthermore, mass industry cotton producers are asked to use masses of chemicals that lead to pollution, whereas their products are organic. Alva pays attention to knowing who they work with and that all the parts of the production chain are fairly rewarded.",Sweden,"10,12,15,",,,,,SDG 7: Affordable and Clean Energy,,,https://plusimpact.io/startups/alva,1
407,407,Altered,https://www.alteredcompany.com/,Plus impact,"Altered is a Swedish innovation company that provides low effort-high impact solutions for your everyday habits. With the Dome Technology, which allows the water to be misted instead of sprayed from the tap or showerhead, water, energy and CO2 emissions are are saved. Our mission is to make things smarter in order to alter things for the better. It's a conscious choice and an exciting journey of discovery and innovation.",Sweden,"6,7,",,,,,SDG 6: Clean Water and Sanitation,,,https://plusimpact.io/startups/altered,1
408,408,Coreorient,https://coreorient.com/,Plus impact,"Coreorient helps businesses and consumers adopt more efficient and convenient ways for everyday tasks with the help of their local communities! CoReorient develops solutions for a sustainable society. The Helsinki based enterprise develops sustainable circular economy and sharing economy services and offers consultation in Finland, Scandinavia and globally for Smart Cities. Our vision is to develop a platform and services, with which people can make their everyday lives not just more sustainable, but also easier.",Helsingfors,"11,12,",,,,,,,,https://plusimpact.io/startups/coreorient-1,1
409,409,Mesensei,http://www.mesensei.com/,Plus impact,"Empowering Communities With Next Generation Internet Software Engine____________ Mesensei is a decentralised platform and a software engine to empower communities to deploy their own digital platforms under their own brand and data controllership... …With the option to acquire the source code for further development in-house or by the open source community. Mesensei is aligned with EU vision of the Next Generation Internet and it has been build for digital service creation with need for EU Digital Single Market regulatory compliancy. Mesensei data hosting and service architecture is build on data transfer minimisation outside of EU and Mesensei is audited for data security and compliancy for usage by government agencies in EU. —- Communities come in all shapes and sizes: - Business Networks - Sports and hobby clubs - Support Groups - Rescue and defence volunteers But they all have the same needs: - They need to know who their members are - Communicate with their members - Mobilise them for action - While maintaining data protection and legal compliancy The operative challenges for mission driven communities are very similiar to corporations. However, their capability to field digital technology is much more limited. And this is the problem we are solving for mission driven communities. Mesensei is designed for communities who find enterprise software - too complicated - expensive - and uninspirational but who cannot rely solely on free social media services because of - advertisement driven business logics - chaotic and noisy content display algorithms - and lack of privacy & data controllership Mesensei is trusted by University of Cambridge to bring together Postdocs 2 Innovators program a collaboration project of 5 universities and 3 corporations. It is used by XES — a student driven Entrepreneurship society to take control of their membership registery and bring the community together in their own digital space. In EU LEDGER program Mesensei is co-creating and experimenting a village application in Giampilieri, Sicily to digitalise the vouchers of an annual food festival using blockchain technology. We are the winners of Airbus Nordic Critical App Challenge for a concept promoting resiliency and disaster response and recovery management. Our ground breaking technological and social experimentation as founding member of Gmerits consortium https://gmerits.eu was awarded by European Innovation Council the 1million euro 1st prize in Blockchains for Social Good competition in the Financial Inclusion Category. Our vision is to be known as the leading community software provider with solid financial performance and active involvement in developer community as the go to software engine & open source development frameworks for building next generation internet solutions.",Espoo,"4,11,16,",,,,,,,,https://plusimpact.io/startups/mesensei-1,1
410,410,GiiK,http://www.giik.org,Plus impact,"In 2015 the UN implemented 17 Sustainable Development Goals, aiming for a sustainable society by 2030. Today we register the US withdrawing from the Paris agreement, CO2 levels at an all time high and increased polarization in our society. GiiK is about gamification, knowledge and people. Our product, Glowb, is a knowledge platform packed with game mechanics and rewards. Its purpose is to achieve lasting attitude and behavioral changes in our society. Our vision is to accelerate our transition towards a sustainable society.",Oslo,"4,13,",,,,,,,,https://plusimpact.io/startups/giik-1,1
411,411,SoCentral,http://www.socentral.no,Plus impact,"Experimenting for a more sustainable society. We started SoCentral in 2012 because we wanted to contribute to the development of the Nordic welfare model. SoCentral is a collaborative incubator that brings together municipalities, government agencies, entrepreneurs and companies who want to develop new solutions to complex challenges.Using our unique network, we gather people and resources, and share in-depth knowledge on innovation in both the public and private sector. SoCentral acts as a partner on collaborative projects to develop and test new solutions to important societal challenges like sustainable city development, climate change or inclusion and diversit. What motivated us was that we were tired of hearing talk about how important it is to collaborate in order to find good solutions to social challenges. Then everyone went home to their silos and worked as before. Therefore, we decided that we would create this collaborative space ourselves.",Norway,"11,16,",,,,,,,,https://plusimpact.io/startups/socentral-1,1
412,412,Datia,http://datia.app,Plus impact,"Start saving sustainable. See how your funds and shares affect the environment and society. See sustainability information about your funds and shares.See how companies work with emissions, gender equality and water use. Find companies that share your values. See the companies with the highest proportion of female managers and the companies that pay the most tax. Search all stocks and funds. Get inspiration from sustainable companies and funds. Easily connect one or more equity / mutual fund accounts with bankID. All your holdings are analyzed based on sustainability criteria. See if you support weapons production, fossil fuels, meat industry etc. Find funds that fit your values. With Datia you get an easy-to-understand picture of what your savings are invested in. Better for you, better for the planet.",Sweden,"13,14,15,",,,,,,,,https://plusimpact.io/startups/datia-1,1
413,413,Nymatech,https://www.nymatech.com/,Plus impact,"A product development agency that simplifies the journey from concept to market-ready products. By bridging the gap between Europe and China we enable the making of visionary products for ambitious people. Nymatech is a product development agency, driven by new technology. We work with ambitious companies and brands to simplify the journey of getting products to market. Through long-term relationships and trusted partners in China we solve problems from the beginning. Our process of product design, prototyping, building, testing and bridging the connection to local manufacturers up-front will get your product to market, fast. Traditionally, when developing a product for the market, you would engage several separate partners. It’s a costly and time- consuming process. Nymatech is different. We can take on the full scale of product development – from initial idea to market-ready product. We eliminate the need for separate partners by managing all parts of the process. Our approach is structured in two phases: Build the plan and Build the product. Our process of product design, prototyping, building, testing and bridging the connection to local manufacturers up-front will get your product to market, fast.",Sweden,"12,13,",,,,,,,,https://plusimpact.io/startups/nymatech-1,1
414,414,Equality Check,http://equalitycheck.it,Plus impact,"Accelerate Equality in the workplace Leave an anonymous review about equal opportunity in the workplace. Equality Check is a community-based platform where employees can leave anonymous reviews about equal opportunity, company culture, work/life balance and the management's commitment to diversity. Our mission is to catalyze equal opportunities for everyone through radical transparency and accountability. When more than 5 employees have reviewed a company, the reviews go live for everyone to see. For companies who want to improve, we have developed tools to improve diversity. Our unique approach combines qualitative and quantitative data for companies to go from insight to action. Our platform is 100% anonymous- and your contact information will never be associated with your review. Companies will benefit from becoming aware of how their current and former employees feel about their culture, and companies who score well will be able to attract the best talent from a diverse candidate pool. Companies are welcome to create a free or premium company profile, reply to reviews, showcase their commitment to the issue and what measures they take in order to improve. Many employees with minority backgrounds, employees who identify as gay or physically disabled employees experience the direct consequence of unconscious bias, microaggression and discrimination. Studies show that employees are reluctant to share bad conduct and culture with their managers because they are afraid of negative reactions or reprimands. The inside information from employees describing experiences of unconscious gender bias, discrimination and sexual harassment is crucial for companies to be able to change the company culture into an including environment providing equal opportunities for all employees. This is the only way to attract and keep talent. By empowering employees to raise their voice in solidarity, we believe companies will have no choice but to listen to the voices of thousands of employees. We believe transparency is the key to change.",Oslo,"5,8,",,,,,,,,https://plusimpact.io/startups/equality-check-2,1
